Station;Auto (gratis parking);Auto (betalende parking);Auto (totale parking);Auto (bezetting parking) ;Fiets (gratis parking);Fiets (betalende parking);Fiets (totale parking);Fiets (bezetting parking);BTM (frequentie);BTM (route);Trein (frequentie dinsd.);Trein (frequentie zat.) ;Trein (frequentie off-peak);Trein (amplitude);Reistijdcentraliteit;Overstapcentraliteit;Dichtheid (inwoners);Dichtheid (jobs);Dichtheid (basisvoorz.);Dichtheid (regionale voorz.);Dichtheid (metropolitane voorz.);Diversiteit (funct.);Diversiteit (ruimt.);Design (interface);Design (permeabiliteit);Design (fietswandel infrastr.)
Mechelen-Nekkerspoel;0;158;158;109;373;0;373;388;564;12;139;136;8;0,7;8,9;6,3;18296;10172;274;241;210;7,0;82,7;850;619;6726
Meiser;100;85;185;NA;14;0;14;NA;1271;8;148;28;10;0,5;9,4;6,1;46842;20102;261;241;199;9,1;NA;965;694;3820
Melkouwen;50;0;50;40;132;0;132;105,6;2;1;45;34;2;0,6;7,1;2,8;1134;83;71;67;29;2,4;52,5;169;143;973
Melle;127;0;127;133;257;0;257;264;133;6;124;66;6;0,7;8,5;5,9;4465;760;183;154;152;6,6;72,3;338;258;3597
Melsele;22;0;22;18;114;0;114;98;0;0;41;32;2;0,6;7,0;3,6;2919;126;97;96;49;2,2;58,6;168;113;1886
Menen;144;0;144;123;398;0;398;142;264;9;45;35;2;0,6;4,6;4,9;10794;3385;223;181;143;7,9;75,2;780;575;6263
Merchtem;172;0;172;232;188;0;188;151;5;1;69;32;4;0,6;7,6;5,3;5153;1155;113;68;27;5,2;72,2;275;205;2480
Merelbeke;168;0;168;167;224;0;224;323;221;4;124;66;6;0,7;8,8;5,9;6900;761;154;146;145;6,2;67,0;213;188;2908
Merode;0;171;171;NA;6;0;6;NA;961;6;52;0;4;0,3;9,0;3,9;29712;15480;221;199;165;9,4;NA;784;620;3879
Moensberg;28;0;28;NA;20;0;20;NA;338;3;93;28;6;0,5;8,6;3,6;9053;2798;215;187;168;7,4;NA;594;455;3578
Mol;327;0;327;353;560;64;624;533;430;11;70;51;4;0,7;4,3;4,8;7694;3881;235;195;157;7,0;77,1;634;470;6312
Mollem;24;0;24;26;56;0;56;18;25;1;65;32;4;0,6;7,9;5,3;1832;181;89;88;37;2,7;58,2;167;128;1617
Moortsele;44;0;44;11;54;0;54;16;34;1;44;32;2;0,6;6,8;1,9;1115;267;66;61;39;2,6;67,2;158;142;1103
Mortsel;NA;0;NA;29;96;0;96;76,8;540;4;147;98;8;0,7;7,4;5,9;11020;8370;218;208;192;7,7;77,5;427;331;4816
Mortsel-Liersesteenweg;79;0;79;63;144;0;144;115,2;160;2;68;64;4;0,7;7,6;5,3;10990;1440;216;203;168;6,2;77,4;476;364;5579
Mortsel-Oude God;0;0;0;1;286;0;286;228,8;398;4;67;72;4;0,6;8,0;6,0;15317;3682;278;247;226;8,2;82,3;665;463;7625
Mouterij;NA;0;NA;NA;0;0;0;NA;1158;3;97;28;6;0,5;9,4;6,1;58578;32336;308;279;227;9,4;NA;932;575;4050
Muizen;74;0;74;59;64;0;64;51,2;62;1;73;34;4;0,5;8,5;4,1;3478;608;148;151;141;5,0;NA;269;235;3005
Munkzwalm;216;0;216;71;120;0;120;21;0;0;47;34;2;0,7;5,6;4,9;1595;217;124;55;7;2,6;63,4;206;179;1845
Neerpelt;176;0;176;141;170;0;170;136;224;7;33;35;2;0,6;1,2;1,0;5692;2683;195;167;79;7,1;75,6;495;330;4378
Neerwinden;28;0;28;22;36;0;36;28,8;28;2;43;33;2;0,7;7,2;6,6;1455;73;57;37;5;3,3;55,6;104;85;1320
Niel;25;0;25;27;60;0;60;45;64;2;63;34;4;0,5;5,5;1,0;8713;758;215;177;169;5,2;68,5;558;479;5195
Nieuwkerken-Waas;63;0;63;21;112;0;112;65;59;2;41;32;2;0,6;7,0;3,6;3603;680;139;148;145;5,2;73,9;259;194;2289
Nijlen;109;0;109;87;414;0;414;332;84;4;48;34;2;0,6;7,0;5,1;6693;1339;212;136;16;6,9;66,6;428;298;4617
Ninove;274;4;278;384;268;0;268;100;160;7;56;31;2;0,6;7,4;4,7;8952;4125;198;167;89;8,0;80,9;568;404;5479
Noorderkempen;354;0;354;650;296;0;296;210;151;5;39;32;1;0,4;6,0;0,6;1284;527;86;73;74;3,2;78,9;179;178;1500
Nossegem;60;0;60;53;48;0;48;23;0;0;64;35;4;0,6;9,6;7,1;2527;1503;116;111;106;3,7;74,3;195;141;2637
Okegem;66;0;66;43;100;0;100;31;42;1;51;31;2;0,6;8,0;4,7;2127;136;102;105;77;3,7;63,2;150;130;2042
Olen;124;0;124;99;188;0;188;150,4;30;2;72;36;4;0,6;5,5;4,6;3934;463;157;85;107;5,0;63,1;410;313;3496
Oostende;0;705;705;348;1008;0;1008;799;1843;26;61;51;3;0,8;5,5;6,2;13478;8873;186;170;143;5,9;85,4;797;703;6098
Oostkamp;42;0;42;13;100;0;100;95;0;0;42;36;2;0,7;6,8;6,3;1612;160;136;104;75;2,8;71,9;165;227;1646
Opwijk;306;0;306;295;432;0;432;281;125;4;69;32;4;0,6;7,2;5,3;5604;1377;178;114;39;6,3;64,5;551;420;4587
Oudegem;30;0;30;21;104;0;104;40;64;1;39;0;2;0,6;6,6;3,6;2509;921;130;135;121;3,3;60,9;228;181;1990
Oudenaarde;582;0;582;342;376;0;376;255;378;15;129;63;6;0,7;5,7;5,5;6896;5919;216;169;160;7,4;83,4;584;488;5410
Oud-Heverlee;13;0;13;12;71;0;71;16;4;1;62;33;4;0,5;8,0;1,4;2262;500;106;96;53;4,5;66,8;290;267;2451
Overpelt;55;0;55;44;102;0;102;81,6;53;1;34;35;2;0,6;1,9;1,0;4691;2868;206;197;92;6,4;71,2;558;416;4171
Poperinge;94;0;94;79;272;0;272;180;86;4;23;18;1;0,7;0,9;4,9;5698;2274;183;142;84;7,3;78,3;536;376;4327
Puurs;160;8;168;196;342;0;342;312;125;5;74;51;4;0,5;7,0;3,2;4603;1210;179;138;85;5,1;71,4;454;358;4204
Roeselare;0;542;542;123;796;0;796;785;592;17;79;46;4;0,6;5,1;5,7;12449;11220;279;226;193;8,6;85,0;720;489;6926
Ronse;117;0;117;120;88;0;88;68;480;18;21;15;1;0,5;4,4;2,0;10956;2687;199;166;107;7,2;75,7;641;450;5882
Ruisbroek;120;11;131;105;57;0;57;45,6;37;2;64;33;4;0,5;9,5;6,6;9331;1812;205;170;174;6,7;80,9;403;314;4095
Ruisbroek-Sauvegarde;23;0;23;43;32;0;32;65;0;0;62;34;4;0,5;6,4;1,0;3220;524;133;153;145;4,0;63,4;284;250;2775
Schaarbeek;35;7;42;NA;46;0;46;NA;651;3;217;112;9;0,7;10,0;8,9;31941;9565;179;171;147;7,8;NA;535;383;2593
Scheldewindeke;76;0;76;39;170;0;170;75;0;0;44;32;2;0,6;6,3;1,9;2226;264;98;60;6;4,3;65,9;183;139;2043
Schelle;18;0;18;17;32;0;32;30;30;2;63;34;4;0,5;5,6;1,0;7713;705;197;144;151;4,2;64,9;447;369;4159
Schellebelle;60;0;60;117;132;0;132;166;0;0;81;35;4;0,6;7,6;5,6;1936;124;108;114;51;2,0;51,5;163;157;1214
Schendelbeke;34;0;34;64;28;0;28;11;22;1;51;31;2;0,6;5,3;4,7;1679;111;97;96;76;2,5;59,3;151;160;2257
Schoonaarde;113;0;113;65;149;0;149;81;41;2;39;34;2;0,6;6,9;3,6;1478;221;88;69;35;2,0;62,7;148;114;1445
Schulen;90;0;90;100;96;0;96;81;42;3;43;35;2;0,6;6,1;5,4;698;37;50;61;22;0,7;53,1;67;62;950
Serskamp;20;0;20;10;108;0;108;50;0;0;42;35;2;0,6;7,6;5,3;794;33;80;69;6;0,6;40,7;92;89;1083
Simonis;40;0;40;NA;0;0;0;NA;2662;11;29;32;2;0,4;8,7;6,0;68156;11581;319;287;274;9,3;NA;1140;751;4761
Sinaai;64;0;64;47;123;0;123;108;44;3;70;32;4;0,6;7,6;5,6;2469;416;118;80;51;5,1;71,4;318;239;2096
Sint-Agatha-Berchem;65;0;65;NA;4;0;4;NA;1879;8;68;36;4;0,5;8,7;6,1;15985;11017;189;187;185;7,8;NA;566;458;3255
Sint-Denijs-Boekel;109;0;109;68;90;0;90;30;39;1;47;0;2;0,7;5,4;5,1;593;27;45;35;3;1,4;58,8;79;75;728
Sint-Genesius-Rode;289;56;345;276;80;0;80;64;198;2;133;101;8;0,7;8,8;5,9;6997;451;185;165;127;7,2;64,9;573;442;5384
Sint-Gillis;3;0;3;18;0;0;0;17;0;0;65;32;4;0,6;6,7;5,3;7974;1718;178;184;135;6,1;63,9;563;409;4081
Sint-Job;45;0;45;NA;24;0;24;NA;1875;4;159;66;10;0,5;8,9;5,4;12385;4393;246;248;204;9,4;NA;677;550;2779
Sint-Joris-Weert;87;0;87;85;38;0;38;38;106;3;63;33;4;0,5;7,6;1,4;1728;159;85;46;2;2,5;60,0;171;182;2284
Sint-Katelijne-Waver;224;0;224;179;255;0;255;204;0;0;68;64;4;0,7;8,7;6,3;2042;359;106;114;128;2,3;54,3;229;185;1675
Sint-Mariaburg;44;0;44;40;24;0;24;22;0;0;41;37;2;0,6;6,3;5,6;6996;1081;178;160;120;5,3;75,8;317;223;3469
Sint-Martens-Bodegem;90;0;90;145;98;0;98;32;47;2;68;36;4;0,6;7,8;6,1;1724;182;101;89;57;3,2;59,5;195;155;2243
Sint-Niklaas;191;700;891;431;1374;192;1566;1511;1944;21;183;120;10;0,6;7,1;5,9;15504;9208;225;187;166;7,5;85,8;570;389;5658
Sint-Truiden;505;0;505;404;194;8;202;161,6;374;13;43;34;2;0,6;5,8;5,0;11583;6134;237;216;83;7,2;81,9;671;458;5740
Sleidinge;3;0;3;39;56;0;56;93;84;1;38;29;2;0,5;6,1;1,4;3981;994;124;94;36;6,1;65,4;439;306;2957
Temse;96;0;96;128;234;0;234;254;0;0;43;34;2;0,5;6,3;2,9;8042;1419;181;147;96;6,1;78,9;564;450;4907
Terhagen;13;0;13;12;30;0;30;23;0;0;38;0;2;0,6;7,1;5,1;2400;185;120;79;28;4,3;65,7;203;152;1938
Ternat;273;0;273;186;207;0;207;136;175;4;68;36;4;0,6;8,3;6,1;4806;2606;149;112;55;6,5;76,6;420;304;3630
Testelt;169;0;169;74;132;0;132;108;26;1;43;35;2;0,6;7,4;5,4;1293;235;86;59;19;2,4;47,7;138;130;1342
Thurn-En-Taxis;NA;0;NA;NA;0;0;0;NA;826;13;29;32;2;0,4;9,1;6,0;53974;6039;271;246;233;8,3;NA;719;438;3561
Tielen;289;0;289;231;326;0;326;260,8;9;3;66;34;4;0,6;5,2;5,0;2461;162;120;67;24;4,7;58,6;255;208;2439
Tielt;299;0;299;292;222;0;222;231;171;9;40;30;2;0,5;6,7;4,2;7322;3368;190;165;75;7,5;78,4;605;425;4463
Tienen;1597;0;1597;1278;432;0;432;315;388;31;131;71;6;0,7;8,0;6,6;8588;4547;180;165;90;8,1;79,9;397;304;4354
Tollembeek;73;0;73;73;26;0;26;27;0;0;49;28;2;0,5;7,4;4,9;1204;120;60;40;6;2,4;53,9;104;87;1063
Tongeren;190;12;202;162;99;0;99;79,2;708;18;53;32;3;0,5;4,0;5,8;8521;3194;180;141;85;6,8;81,6;519;372;4628
Torhout;400;0;400;242;546;0;546;119;142;5;78;46;4;0,5;5,2;5,7;6894;2972;178;158;88;8,0;71,5;620;452;5078
Turnhout;0;270;270;216;500;0;500;400;1157;26;33;17;2;0,6;4,4;5,0;16354;8338;238;203;181;7,5;82,1;646;483;6349
Ukkel-Kalevoet;74;0;74;NA;28;0;28;NA;1193;8;67;63;4;0,6;9,3;5,5;18809;7765;282;261;214;8,9;NA;760;583;3394
Ukkel-Stalle;32;0;32;NA;8;0;8;NA;0;0;38;63;2;0,6;9,4;5,5;23387;4836;246;228;182;8,9;NA;796;588;3136
Veltem;182;0;182;121;110;0;110;106;102;5;64;35;4;0,6;9,3;7,1;3301;391;132;78;96;4,8;63,8;309;230;3204
Vertrijk;179;0;179;143;102;0;102;81,6;9;3;43;33;2;0,6;8,5;6,6;1751;424;105;50;8;3,9;70,8;198;165;1913
Veurne;75;0;75;60;60;0;60;51;126;6;40;30;2;0,6;2,3;4,2;6551;2712;197;163;138;6,2;75,3;662;496;5318
Viane-Moerbeke;320;0;320;266;84;0;84;50;59;5;49;28;2;0,6;6,3;4,9;2388;157;116;86;65;3,1;53,1;167;131;1822
Vichte;37;0;37;19;152;0;152;51;8;2;43;0;2;0,5;6,5;4,9;2675;987;124;81;63;6,1;76,6;380;299;2532
Vijfhuizen;10;0;10;6;28;0;28;11;42;2;14;0;0;0,3;7,0;0,0;2323;431;135;124;103;4,4;71,1;268;210;2247
Vilvoorde;47;379;426;362;490;257;747;558;1213;16;278;164;17;0,7;9,6;6,5;12707;8845;193;167;128;7,6;86,6;542;426;5507
Vorst-Oost;25;0;25;NA;0;0;0;NA;2580;6;66;63;4;0,6;9,6;5,5;20576;4686;216;201;161;8,4;NA;673;501;2663
Vorst-Zuid;6;0;6;NA;0;0;0;NA;0;0;64;33;4;0,5;9,7;6,6;6321;38179;108;120;101;7,9;NA;389;288;1364
Waarschoot;10;0;10;10;112;0;112;95;6;1;38;29;2;0,5;5,2;1,2;4157;527;121;73;47;5,5;75,6;313;258;2751
Waregem;429;0;429;640;706;0;706;640;213;7;87;73;4;0,7;7,9;5,8;5699;2084;154;131;72;8,1;78,3;467;346;3465
Watermaal;55;0;55;NA;26;0;26;NA;1036;2;36;34;2;0,5;9,3;5,7;22631;8503;228;218;182;8,8;NA;756;583;3461
Weerde;128;0;128;102;242;0;242;193,6;3;1;132;92;8;0,7;9,2;6,3;3506;653;160;94;107;5,0;59,9;303;236;3678
Welle;35;0;35;7;20;0;20;3;78;3;38;0;2;0,6;8,7;5,1;3990;954;160;134;133;5,8;63,8;267;217;3169
Wervik;129;0;129;22;192;0;192;100;4;1;45;35;2;0,6;3,9;4,9;7463;1169;168;135;47;6,6;67,1;519;384;4591
Wespelaar-Tildonk;47;0;47;61;244;0;244;131;110;4;82;34;4;0,5;7,8;3,5;1926;537;117;102;65;5,9;74,9;168;157;2100
Wetteren;565;0;565;259;395;0;395;576;182;8;153;103;8;0,6;7,9;5,6;9598;2143;233;173;82;6,8;79,2;576;400;5291
Wevelgem;250;0;250;77;157;0;157;172;23;1;45;35;2;0,6;5,4;4,9;8584;1782;242;162;168;7,7;74,1;610;438;5151
Wezemaal;175;0;175;176;328;0;328;281;45;2;114;69;6;0,6;8,6;5,4;3135;232;131;105;24;6,0;60,2;319;252;2782
Wichelen;27;0;27;30;108;0;108;59;3;1;39;0;2;0,6;7,2;3,6;2612;225;150;96;15;2,9;61,2;230;186;2362
Wijgmaal;189;0;189;167;195;0;195;98;226;5;82;34;4;0,6;8,5;3,5;4087;4077;145;122;124;4,3;69,2;252;186;3408
Wildert;36;0;36;34;142;0;142;134;12;4;67;37;2;0,6;4,6;5,6;2801;212;98;91;52;3,9;64,8;290;280;2623
Willebroek;148;0;148;111;170;0;170;190;237;6;43;34;2;0,5;7,8;2,9;8490;1942;161;149;128;7,9;78,6;532;401;4230
Wolfstee;126;0;126;101;46;0;46;36,8;2;1;34;0;2;0,6;6,4;5,1;47;1192;12;16;19;7,6;77,3;38;45;140
Wondelgem;62;0;62;51;42;0;42;43;287;6;38;29;2;0,5;7,6;1,4;7904;1817;151;143;126;7,1;78,6;441;312;4097
Zandbergen;25;0;25;30;42;0;42;38;26;1;51;31;2;0,6;5,9;4,7;1442;144;85;48;15;3,1;58,4;99;97;1451
Zaventem;260;0;260;208;404;0;404;323,2;177;8;135;74;8;0,6;9,7;8,1;9367;11179;188;133;137;6,9;81,7;466;377;5235
Zedelgem;31;0;31;57;252;0;252;136;62;2;70;46;4;0,5;5,7;5,7;2457;2522;110;79;12;6,6;75,3;299;208;2197
Zeebrugge-Dorp;8;0;8;24;127;0;127;43;101;4;16;0;1;0,3;3,7;3,1;2261;1353;68;60;67;3,7;77,0;241;237;2628
Zele;161;0;161;151;440;0;440;397;25;1;47;32;2;0,5;7,0;5,1;6740;2724;182;158;126;7,9;75,2;552;427;4062
Zellik;10;0;10;42;5;0;5;20;277;4;69;32;4;0,6;8,7;5,3;6778;2678;165;147;163;6,0;78,8;360;309;3952
Zichem;169;0;169;70;152;0;152;66;20;1;43;35;2;0,6;7,1;5,4;1559;110;89;67;68;1,3;60,7;121;120;1338
Zingem;89;0;89;88;165;0;165;111;11;2;45;30;2;0,5;6,7;2,0;3231;450;155;79;11;4,3;60,7;320;235;2827
Zolder;28;0;28;22;72;0;72;57,6;71;4;34;30;2;0,5;3,2;0,1;2126;998;122;131;50;4,7;71,5;206;177;2253
Zonhoven;39;0;39;31;84;0;84;67,2;94;3;34;30;2;0,5;4,1;0,1;2660;559;166;124;48;5,0;72,6;272;210;1860
Zottegem;552;224;776;870;592;0;592;391;325;14;138;66;6;0,7;6,1;5,4;8155;3308;219;161;64;7,5;74,6;578;424;5154
Zwijndrecht;115;0;115;98;172;0;172;112;52;1;41;32;2;0,6;7,2;3,6;9106;8551;197;141;156;7,0;77,1;613;508;5272
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
