Station;Auto (gratis parking);Auto (betalende parking);Auto (totale parking);Auto (bezetting parking) ;Fiets (gratis parking);Fiets (betalende parking);Fiets (totale parking);Fiets (bezetting parking);BTM (frequentie);BTM (route);Trein (frequentie dinsd.);Trein (frequentie zat.) ;Trein (frequentie off-peak);Trein (amplitude);Reistijdcentraliteit;Overstapcentraliteit;Dichtheid (inwoners);Dichtheid (jobs);Dichtheid (basisvoorz.);Dichtheid (regionale voorz.);Dichtheid (metropolitane voorz.);Diversiteit (funct.);Diversiteit (ruimt.);Design (interface);Design (permeabiliteit);Design (fietswandel infrastr.)
Bordet;82;0;82;NA;18;0;18;NA;2905;18;214;67;14;0,6;9,3;6,1;19360;15051;234;212;191;8,1;NA;890;756;3788
Bornem;124;0;124;124;336;0;336;307;53;3;43;34;2;0,5;6,5;2,9;6245;2298;170;142;94;6,5;76,2;492;387;4080
Bosvoorde;53;0;53;NA;12;0;12;NA;292;1;75;34;4;0,6;9,1;5,9;7486;3640;189;186;166;9,4;NA;426;398;3051
Bouwel;187;0;187;150;252;0;252;201,6;3;1;48;34;2;0,6;6,7;5,1;2701;304;125;92;35;4,1;66,9;292;232;2908
Brugge;85;1971;2056;1736;4421;275;4696;3854;2401;50;249;200;13;0,8;6,5;6,7;8422;8369;225;230;183;8,6;88,9;726;592;6540
Brugge-Sint-Pieters;NA;0;NA;16;24;0;24;14;461;5;31;14;2;0,3;6,0;5,1;5655;2311;199;201;169;6,8;86,9;641;494;5113
Brussel-Centraal;NA;0;NA;NA;230;78;308;NA;2874;15;1092;659;57;0,7;10,0;10,0;29669;60678;296;283;240;9,2;NA;1491;1103;6492
Brussel-Congres;0;20;20;NA;6;0;6;NA;79;3;56;0;4;0,3;10,0;9,9;36261;67781;271;255;221;9,4;NA;1309;950;6093
Brussel-Kapellekerk;77;0;77;NA;16;0;16;NA;305;10;29;0;2;0,3;10,0;10,0;44256;47654;279;258;217;9,0;NA;1400;915;5325
Brussel-Luxemburg;NA;0;NA;NA;252;0;252;NA;2387;10;343;171;21;0,6;9,6;7,2;29906;30110;259;250;205;9,4;NA;952;709;5050
Brussels Airport - Zaventem;NA;0;NA;66;0;0;0;305,6;1338;20;219;219;12;0,7;9,6;7,7;1059;1174;45;41;45;3,7;62,6;158;141;1088
Brussel-Noord;0;83;83;NA;382;0;382;NA;2202;36;1093;660;57;0,7;10,0;9,9;44291;51883;260;240;215;9,2;NA;1066;769;5036
Brussel-Schuman;NA;0;NA;NA;141;0;141;NA;1634;9;345;171;21;0,6;9,7;7,2;39141;21982;280;264;217;9,5;NA;1158;838;5927
Brussel-West;NA;0;NA;NA;0;0;0;NA;1047;7;29;32;2;0,4;9,0;6,0;51138;12532;296;268;246;9,3;NA;817;585;3224
Brussel-Zuid;0;1650;1650;NA;164;178;342;NA;2682;18;949;584;49;0,8;9,9;10,0;62003;41328;255;233;194;8,5;NA;958;590;3930
Buda;26;0;26;21;0;0;0;0;153;1;28;0;2;0,3;9,7;5,8;866;69719;82;104;91;6,1;78,3;151;115;1861
Buggenhout;157;0;157;145;200;0;200;176;50;2;42;32;2;0,6;7,0;3,6;4471;927;189;118;62;4,9;65,2;351;278;2803
Buizingen;63;0;63;50;16;0;16;12,8;140;1;64;33;4;0,5;9,2;6,6;2775;4161;116;124;54;7,6;81,8;210;155;2240
Burst;165;0;165;421;92;0;92;95;5;2;61;34;2;0,6;7,5;5,1;3014;199;146;78;27;3,8;61,3;292;229;2824
De Hoek;38;0;38;30;0;0;0;0;86;1;38;63;2;0,7;8,6;5,9;3954;484;132;117;70;4,1;56,1;343;280;2916
De Panne;56;0;56;64;56;0;56;42;88;2;20;15;1;0,6;0,8;4,2;1970;619;100;82;94;1,7;73,2;290;252;2255
De Pinte;190;0;190;260;412;0;412;355;0;0;125;98;6;0,6;8,8;6,3;5251;738;192;124;117;7,3;71,3;456;349;3691
Deinze;620;7;627;165;888;0;888;456;240;10;86;68;4;0,6;8,4;5,9;7706;4155;196;174;93;7,5;84,7;613;439;5296
Delta;394;0;394;NA;0;0;0;NA;898;6;52;0;4;0,3;8,8;3,9;21534;16369;214;196;162;9,3;NA;843;644;3194
Denderleeuw;0;1115;1115;969;883;0;883;526;92;3;282;155;14;0,6;9,1;6,9;6944;1335;183;129;120;6,1;62,6;377;295;3950
Dendermonde;817;0;817;928;951;0;951;976;354;16;150;82;8;0,6;6,7;6,0;9180;4898;216;196;144;7,5;82,1;528;475;5547
Diegem;34;0;34;20;168;0;168;43;201;2;135;74;8;0,6;9,7;8,1;3762;10646;132;119;119;5,7;79,3;295;303;3528
